	IPR001723:Steroid hormone receptor	GO:0003707~steroid hormone receptor activity	DNA-binding region:Nuclear receptor	zinc finger region:NR C4-type	IPR001628:Zinc finger, nuclear hormone receptor-type	IPR013088:Zinc finger, NHR/GATA-type	IPR000536:Nuclear hormone receptor, ligand-binding, core	GO:0043401~steroid hormone mediated signaling pathway	SM00430:HOLI	SM00399:ZnF_C4	Receptor	GO:0008270~zinc ion binding	Zinc-finger	GO:0043565~sequence-specific DNA binding	GO:0003700~transcription factor activity, sequence-specific DNA binding	Transcription regulation	DNA-binding	Transcription	GO:0006351~transcription, DNA-templated	GO:0003677~DNA binding	GO:0006355~regulation of transcription, DNA-templated	Nucleus	
Nuclear Hormone Receptor family(nhr-46)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-17)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-173)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-119)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-65(nhr-65)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-61)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-3(nhr-3)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-40(nhr-40)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-106(nhr-106)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-86)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-130(nhr-130)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-121)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-16(nhr-16)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-108(nhr-108)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-42(nhr-42)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-150(nhr-150)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-31(nhr-31)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-11)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-34(nhr-34)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-97(nhr-97)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-4(nhr-4)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-47(nhr-47)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-62(nhr-62)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-69(nhr-69)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-10(nhr-10)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-22(nhr-22)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
